store,category,domain,website,x_link,hunter_domain_search,linkedin_search,channel,note,quick_check_command,exact_pitch,best_email,public_emails,contact_pages_checked,linkedin_profiles_found,x_profiles_found,instagram_profiles_found,facebook_profiles_found,tiktok_profiles_found,youtube_profiles_found,enrichment_status,crawl_notes,email_confidence,email_source_url,public_profile_links,profile_status
Jolie,Beauty & personal care,jolieskinco.com,https://jolieskinco.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Jolie%20founder%20ecommerce,manual_dm,Ryan Babenzien active on X — DM,bun packages/audit/src/cli.ts readiness jolieskinco.com --max-pages 3 --skip-checkout,"Hey Ryan Babenzien, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Jolie, I’d look at shade, bundle, and subscription-style product choices plus the cart-to-checkout path. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run jolieskinco.com?",talktous@jolieskinco.com,talktous@jolieskinco.com,https://jolieskinco.com/contact; https://jolieskinco.com/contact-us; https://jolieskinco.com/pages/contact; https://jolieskinco.com/pages/contact-us; https://jolieskinco.com/pages/contact-us-1,,,https://instagram.com/jolieskinco,,https://tiktok.com/@jolieskincompany,,email+profile,,site_crawl,https://jolieskinco.com/contact,https://instagram.com/jolieskinco; https://tiktok.com/@jolieskincompany,direct_profile_found
Doe Lashes,Beauty & personal care,doelashes.com,https://doelashes.com,https://x.com/EggrolI,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Doe%20Lashes%20founder%20ecommerce,manual_dm,Jason Wong (@EggrolI) — DM,bun packages/audit/src/cli.ts readiness doelashes.com --max-pages 3 --skip-checkout,"Hey Jason Wong, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Doe Lashes, I’d look at shade, bundle, and subscription-style product choices plus the cart-to-checkout path. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run doelashes.com?",hi@doelashes.com,hi@doelashes.com,,,,,,,,email+profile,,site_crawl,https://doelashes.com,https://x.com/EggrolI,direct_profile_found
Graza,Food & beverage,graza.co,https://graza.co,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Graza%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness graza.co --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Graza, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on graza.co. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Graza?",hello@graza.co,hello@graza.co,https://graza.co/contact; https://graza.co/contact-us; https://graza.co/pages/contact; https://graza.co/pages/contact-us; https://graza.co/pages/contact-us-1,,https://twitter.com/getgraza,https://instagram.com/getgraza,https://facebook.com/getgraza,https://tiktok.com/@getgraza,,email+profile,,site_crawl,https://graza.co/contact,https://twitter.com/getgraza; https://instagram.com/getgraza; https://facebook.com/getgraza; https://tiktok.com/@getgraza,direct_profile_found
Fly By Jing,Food & beverage,flybyjing.com,https://flybyjing.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Fly%20By%20Jing%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness flybyjing.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Fly By Jing, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on flybyjing.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Fly By Jing?",wholesale@flybyjing.com,wholesale@flybyjing.com; support@flybyjing.com,https://flybyjing.com/contact; https://flybyjing.com/contact-us; https://flybyjing.com/pages/contact; https://flybyjing.com/pages/contact-us; https://flybyjing.com/pages/contact-us-1,,,https://instagram.com/flybyjing,,https://tiktok.com/@flybyjing,,email+profile,,site_crawl,https://flybyjing.com/contact,https://instagram.com/flybyjing; https://tiktok.com/@flybyjing,direct_profile_found
Omsom,Food & beverage,omsom.com,https://omsom.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Omsom%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness omsom.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Omsom, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on omsom.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Omsom?",sales@omsom.com,sales@omsom.com; nsales@omsom.com,https://omsom.com/contact; https://omsom.com/contact-us; https://omsom.com/pages/contact; https://omsom.com/pages/contact-us; https://omsom.com/pages/contact-us-1,,,,,,,email+profile,,site_crawl,https://omsom.com/contact,https://www.linkedin.com/search/results/people/?keywords=Omsom%20founder%20ecommerce,linkedin_search_only
Momofuku Goods,Food & beverage,shop.momofuku.com,https://shop.momofuku.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Momofuku%20Goods%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness shop.momofuku.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Momofuku Goods, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on shop.momofuku.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Momofuku Goods?",customerservice@momofuku.com,customerservice@momofuku.com,https://shop.momofuku.com/contact; https://shop.momofuku.com/contact-us; https://shop.momofuku.com/pages/contact; https://shop.momofuku.com/pages/contact-us; https://shop.momofuku.com/pages/contact-us-1,,https://twitter.com/momofuku,https://instagram.com/momofukugoods,https://facebook.com/luckypeach,,,email+profile,,high,https://shop.momofuku.com/pages/purchase-sale-terms,https://twitter.com/momofuku; https://instagram.com/momofukugoods; https://facebook.com/luckypeach,direct_profile_found
Brightland,Food & beverage,brightland.co,https://brightland.co,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Brightland%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness brightland.co --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Brightland, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on brightland.co. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Brightland?",goodday@brightland.co,goodday@brightland.co,https://brightland.co/contact; https://brightland.co/contact-us; https://brightland.co/pages/contact; https://brightland.co/pages/contact-us; https://brightland.co/pages/contact-us-1,,,https://instagram.com/wearebrightland,,https://tiktok.com/@wearebrightland,,email+profile,,site_crawl,https://brightland.co/contact,https://instagram.com/wearebrightland; https://tiktok.com/@wearebrightland,direct_profile_found
Sanzo,Food & beverage,drinksanzo.com,https://drinksanzo.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Sanzo%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness drinksanzo.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Sanzo, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on drinksanzo.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Sanzo?",wholesale@drinksanzo.com,wholesale@drinksanzo.com; hello@drinksanzo.com; press@drinksanzo.com,https://drinksanzo.com/contact-us; https://drinksanzo.com/pages/contact; https://drinksanzo.com/pages/contact-us-1; https://drinksanzo.com/support; https://drinksanzo.com/pages/support,,,,,,,email+profile,,site_crawl,https://drinksanzo.com/contact-us,https://www.linkedin.com/search/results/people/?keywords=Sanzo%20founder%20ecommerce,linkedin_search_only
Immi,Food & beverage,immieats.com,https://immieats.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Immi%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness immieats.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Immi, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on immieats.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Immi?",fam@immieats.com,fam@immieats.com,https://immieats.com/contact-us; https://immieats.com/pages/contact-us; https://immieats.com/pages/contact-us-1; https://immieats.com/support; https://immieats.com/pages/support,,https://twitter.com,https://instagram.com/immieats,https://facebook.com/immieats,https://tiktok.com/@immi4lunch; https://tiktok.com/@immieats,https://youtube.com/channel/UC3GvipAGBkkCiLzZL6MlEaA,email+profile,,high,https://shop.immieats.com/pages/subscription,https://twitter.com; https://instagram.com/immieats; https://facebook.com/immieats; https://tiktok.com/@immi4lunch; https://tiktok.com/@immieats; https://youtube.com/channel/UC3GvipAGBkkCiLzZL6MlEaA,direct_profile_found
Magic Spoon,Food & beverage,magicspoon.com,https://magicspoon.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Magic%20Spoon%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness magicspoon.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Magic Spoon, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on magicspoon.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Magic Spoon?",partnerships@magicspoon.com,partnerships@magicspoon.com; retail@magicspoon.com; hello@magicspoon.com; affiliates@magicspoon.com; influencers@magicspoon.com,https://magicspoon.com/contact-us; https://magicspoon.com/pages/contact; https://magicspoon.com/pages/contact-us; https://magicspoon.com/pages/contact-us-1; https://magicspoon.com/pages/support,,https://twitter.com/eatmagicspoon,https://instagram.com/magicspooncereal,https://facebook.com/magicspooncereal,https://tiktok.com/@magicspooncereal,,email+profile,,site_crawl,https://magicspoon.com/contact-us,https://twitter.com/eatmagicspoon; https://instagram.com/magicspooncereal; https://facebook.com/magicspooncereal; https://tiktok.com/@magicspooncereal,direct_profile_found
Mid-Day Squares,Food & beverage,middaysquares.com,https://middaysquares.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Mid-Day%20Squares%20founder%20ecommerce,manual_dm,Founders document everything publicly — DM,bun packages/audit/src/cli.ts readiness middaysquares.com --max-pages 3 --skip-checkout,"Hey Mid-Day Squares team, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Mid-Day Squares, I’d look at flavor, pack-size, subscription, and shipping-policy details that agents need before checkout. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run middaysquares.com?",info@middaysquares.com,info@middaysquares.com,https://middaysquares.com/contact; https://middaysquares.com/contact-us; https://middaysquares.com/pages/contact; https://middaysquares.com/pages/contact-us; https://middaysquares.com/pages/contact-us-1,,,https://instagram.com/middaysquares,https://facebook.com/pg/MidDaySquares/about,,,email+profile,,low_third_party,https://www.fruugo.dk/middagsfirkanter-almond-crunch-funktionel-chokoladebar-33-gram-etui-med-12/p-332933117,https://instagram.com/middaysquares; https://facebook.com/pg/MidDaySquares/about,direct_profile_found
Masa Chips,Food & beverage,masachips.com,https://masachips.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Masa%20Chips%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness masachips.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Masa Chips, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on masachips.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Masa Chips?",wholesale@ancientcrunch.com,wholesale@ancientcrunch.com; hello@masachips.com,https://masachips.com/contact; https://masachips.com/contact-us; https://masachips.com/pages/contact; https://masachips.com/pages/contact-us-1; https://masachips.com/pages/support,,https://twitter.com/Masa_Chips; https://x.com/masa_chips,https://instagram.com/masa_chips,https://facebook.com/masachips,https://tiktok.com/@masa_chips,,email+profile,,site_crawl,https://masachips.com/contact,https://twitter.com/Masa_Chips; https://x.com/masa_chips; https://instagram.com/masa_chips; https://facebook.com/masachips; https://tiktok.com/@masa_chips,direct_profile_found
Chomps,Food & beverage,chomps.com,https://chomps.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Chomps%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness chomps.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Chomps, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on chomps.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Chomps?",partnerships@chomps.com,partnerships@chomps.com; wholesalesupport@chomps.com; team@chomps.com; creators@chomps.com; marketingteam@chomps.com; partnerships@chomps.commarketingteam; marketing@chomps.comwe,https://chomps.com/contact; https://chomps.com/contact-us; https://chomps.com/pages/contact; https://chomps.com/pages/contact-us-1; https://chomps.com/support,https://linkedin.com/company/chomps,https://twitter.com/gochomps; https://x.com/gochomps,https://instagram.com/chomps,https://facebook.com/chomps,https://tiktok.com/@gochomps,,email+profile,,site_crawl,https://chomps.com/contact,https://linkedin.com/company/chomps; https://twitter.com/gochomps; https://x.com/gochomps; https://instagram.com/chomps; https://facebook.com/chomps; https://tiktok.com/@gochomps,direct_profile_found
Kettle & Fire,Food & beverage,kettleandfire.com,https://kettleandfire.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Kettle%20%26%20Fire%20founder%20ecommerce,manual_dm,Justin Mares — DM,bun packages/audit/src/cli.ts readiness kettleandfire.com --max-pages 3 --skip-checkout,"Hey Justin Mares, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Kettle & Fire, I’d look at flavor, pack-size, subscription, and shipping-policy details that agents need before checkout. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run kettleandfire.com?",support@kettleandfire.com,support@kettleandfire.com,https://kettleandfire.com/contact; https://kettleandfire.com/contact-us; https://kettleandfire.com/pages/contact; https://kettleandfire.com/pages/contact-us; https://kettleandfire.com/pages/contact-us-1,,https://twitter.com/kettleandfire; https://x.com/faire_wholesale,https://instagram.com/faire_wholesale; https://instagram.com/kettleandfire,https://facebook.com/KettleandFireBoneBroth; https://facebook.com/fairewholesale,,,email+profile,,high,https://try.kettleandfire.com/bb/585,https://twitter.com/kettleandfire; https://x.com/faire_wholesale; https://instagram.com/faire_wholesale; https://instagram.com/kettleandfire; https://facebook.com/KettleandFireBoneBroth; https://facebook.com/fairewholesale,direct_profile_found
Aura Bora,Food & beverage,aurabora.com,https://aurabora.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Aura%20Bora%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness aurabora.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Aura Bora, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on aurabora.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Aura Bora?",hello@aurabora.com,hello@aurabora.com,https://aurabora.com/contact-us; https://aurabora.com/pages/contact; https://aurabora.com/pages/contact-us; https://aurabora.com/pages/contact-us-1; https://aurabora.com/support,,https://twitter.com/drinkaurabora,https://instagram.com/drinkaurabora,,https://tiktok.com/@drinkaurabora,,email+profile,,site_crawl,https://aurabora.com/contact-us,https://twitter.com/drinkaurabora; https://instagram.com/drinkaurabora; https://tiktok.com/@drinkaurabora,direct_profile_found
Ghia,Food & beverage,drinkghia.com,https://drinkghia.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Ghia%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness drinkghia.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Ghia, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on drinkghia.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Ghia?",partnerships@drinkghia.com,partnerships@drinkghia.com; press@drinkghia.com; hi@drinkghia.com; orders@drinkghia.com,https://drinkghia.com/contact; https://drinkghia.com/contact-us; https://drinkghia.com/pages/contact; https://drinkghia.com/pages/contact-us; https://drinkghia.com/pages/contact-us-1,https://linkedin.com/company/drinkghia,,https://instagram.com/drinkghia,https://facebook.com/GHIA-107071294121063,,,email+profile,,site_crawl,https://drinkghia.com/contact,https://linkedin.com/company/drinkghia; https://instagram.com/drinkghia; https://facebook.com/GHIA-107071294121063,direct_profile_found
Recess,Food & beverage,takearecess.com,https://takearecess.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Recess%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness takearecess.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Recess, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on takearecess.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Recess?",partnerships@takearecess.com,partnerships@takearecess.com; hello@takearecess.com; pr@takearecess.com; will@takearecess.com,https://takearecess.com/contact; https://takearecess.com/contact-us; https://takearecess.com/pages/contact; https://takearecess.com/pages/contact-us; https://takearecess.com/pages/contact-us-1,,https://twitter.com/takearecess,https://instagram.com/takearecess,https://facebook.com/takearecess,,,email+profile,,site_crawl,https://takearecess.com/contact,https://twitter.com/takearecess; https://instagram.com/takearecess; https://facebook.com/takearecess,direct_profile_found
Jocko Fuel,Food & beverage,jockofuel.com,https://jockofuel.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Jocko%20Fuel%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness jockofuel.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Jocko Fuel, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on jockofuel.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Jocko Fuel?",hello@jockofuel.com,hello@jockofuel.com; jfsales@jockofuel.com,https://jockofuel.com/contact; https://jockofuel.com/pages/contact; https://jockofuel.com/pages/contact-us; https://jockofuel.com/pages/contact-us-1; https://jockofuel.com/support,,https://twitter.com/jockofuel,https://instagram.com/jockofuel,https://facebook.com/jockofuel,https://tiktok.com/@jockofuel,https://youtube.com/@jockofuel,email+profile,,site_crawl,https://jockofuel.com/contact,https://twitter.com/jockofuel; https://instagram.com/jockofuel; https://facebook.com/jockofuel; https://tiktok.com/@jockofuel; https://youtube.com/@jockofuel,direct_profile_found
Everyday Dose,Food & beverage,everydaydose.com,https://everydaydose.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Everyday%20Dose%20founder%20ecommerce,manual_dm,Jack Savage active on X — DM,bun packages/audit/src/cli.ts readiness everydaydose.com --max-pages 3 --skip-checkout,"Hey Jack Savage, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Everyday Dose, I’d look at flavor, pack-size, subscription, and shipping-policy details that agents need before checkout. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run everydaydose.com?",wholesale@everydaydose.com,wholesale@everydaydose.com; press@everydaydose.com; hi@everydaydose.com,https://everydaydose.com/contact; https://everydaydose.com/contact-us; https://everydaydose.com/pages/contact; https://everydaydose.com/pages/contact-us; https://everydaydose.com/pages/contact-us-1,,,https://instagram.com/everydaydose,https://facebook.com/themushroomlatte,https://tiktok.com/@drinkeverydaydose,https://youtube.com/@EverydayDoseOfficial,email+profile,,site_crawl,https://everydaydose.com/contact,https://instagram.com/everydaydose; https://facebook.com/themushroomlatte; https://tiktok.com/@drinkeverydaydose; https://youtube.com/@EverydayDoseOfficial,direct_profile_found
MUD\WTR,Food & beverage,mudwtr.com,https://mudwtr.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=MUD%5CWTR%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness mudwtr.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For MUD\WTR, I’d start with flavor, pack-size, subscription, and shipping-policy details that agents need before checkout on mudwtr.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking MUD\WTR?",press@mudwtr.com,press@mudwtr.com; drink@mudwtr.com; renee@mudwtr.com,https://mudwtr.com/contact; https://mudwtr.com/contact-us; https://mudwtr.com/pages/contact; https://mudwtr.com/pages/contact-us; https://mudwtr.com/pages/contact-us-1,https://linkedin.com/company/mudwtr,https://x.com/drinkmudwtr,https://instagram.com/drinkmudwtr,,,https://youtube.com/c/MUDWTR,email+profile,,site_crawl,https://mudwtr.com/contact,https://linkedin.com/company/mudwtr; https://x.com/drinkmudwtr; https://instagram.com/drinkmudwtr; https://youtube.com/c/MUDWTR,direct_profile_found
Legion Athletics,Supplements & wellness,legionathletics.com,https://legionathletics.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Legion%20Athletics%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness legionathletics.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Legion Athletics, I’d start with claims-sensitive product data, subscription flows, and checkout reachability on legionathletics.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Legion Athletics?",wholesale@legionsupplements.com,wholesale@legionsupplements.com,https://legionathletics.com/contact-us; https://legionathletics.com/pages/contact-us; https://legionathletics.com/pages/contact-us-1; https://legionathletics.com/support; https://legionathletics.com/customer-service,,https://twitter.com/LegionAth; https://x.com/legionsupps,https://instagram.com/legion,https://facebook.com/LegionAthletics,https://tiktok.com/@legionsupps,https://youtube.com/@legionsupps,email+profile,,site_crawl,https://legionathletics.com/contact-us,https://twitter.com/LegionAth; https://x.com/legionsupps; https://instagram.com/legion; https://facebook.com/LegionAthletics; https://tiktok.com/@legionsupps; https://youtube.com/@legionsupps,direct_profile_found
Transparent Labs,Supplements & wellness,transparentlabs.com,https://transparentlabs.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Transparent%20Labs%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness transparentlabs.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Transparent Labs, I’d start with claims-sensitive product data, subscription flows, and checkout reachability on transparentlabs.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Transparent Labs?",support@transparentlabs.com,support@transparentlabs.com,https://transparentlabs.com/contact; https://transparentlabs.com/contact-us; https://transparentlabs.com/pages/contact; https://transparentlabs.com/pages/contact-us; https://transparentlabs.com/pages/contact-us-1,,,https://instagram.com/transparentlabs,https://facebook.com/transparentlabs,,https://youtube.com/channel/UCVZTzxFOTySeTpmzJ5ufgBQ,email+profile,,site_crawl,https://transparentlabs.com/contact,https://instagram.com/transparentlabs; https://facebook.com/transparentlabs; https://youtube.com/channel/UCVZTzxFOTySeTpmzJ5ufgBQ,direct_profile_found
Momentous,Supplements & wellness,livemomentous.com,https://livemomentous.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Momentous%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness livemomentous.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Momentous, I’d start with claims-sensitive product data, subscription flows, and checkout reachability on livemomentous.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Momentous?",wholesale@livemomentous.com,wholesale@livemomentous.com,https://livemomentous.com/contact-us; https://livemomentous.com/pages/contact; https://livemomentous.com/pages/contact-us; https://livemomentous.com/pages/contact-us-1; https://livemomentous.com/pages/support,,https://x.com/livemomentous,https://instagram.com/live.momentous,https://facebook.com/livemomentous,,https://youtube.com/@live.momentous,email+profile,,site_crawl,https://livemomentous.com/contact-us,https://x.com/livemomentous; https://instagram.com/live.momentous; https://facebook.com/livemomentous; https://youtube.com/@live.momentous,direct_profile_found
Thesis,Supplements & wellness,takethesis.com,https://takethesis.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Thesis%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness takethesis.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Thesis, I’d start with claims-sensitive product data, subscription flows, and checkout reachability on takethesis.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Thesis?",hello@takethesis.com,hello@takethesis.com,https://takethesis.com/contact; https://takethesis.com/contact-us; https://takethesis.com/pages/contact; https://takethesis.com/pages/contact-us; https://takethesis.com/pages/contact-us-1,,,https://instagram.com/takethesis,https://facebook.com/TakeThesis,https://tiktok.com/@takethesis,,email+profile,,site_crawl,https://takethesis.com/contact,https://instagram.com/takethesis; https://facebook.com/TakeThesis; https://tiktok.com/@takethesis,direct_profile_found
